,tweet_text,initial_location,tweet_date,tweet_id,user_id
0,Taboo,"Sandton, South Africa",2018-11-30 23:59:56+00:00,1068655904516657152,71548077
1,Going through the most 😭,"Midrand, South Africa",2018-11-30 23:59:47+00:00,1068655865450979329,567380057
2,Can someone tell me what the fuck is going on https://t.co/lapjfSlZkf,"Bloemfontein, South Africa",2018-11-30 23:59:29+00:00,1068655788657393664,256187487
3,@King_Alu it looks so ugly🙃 but y'all will get used to it,South Africa,2018-11-30 23:59:20+00:00,1068655752754151426,1216384237
4,No guys but you should’ve said that Rihanna would be coming too. Maybe then I’d be interested in this GC thing😤,South Africa,2018-11-30 23:59:03+00:00,1068655679425130500,197422977
5,#HitRefresh this is how u put on a good show https://t.co/Jk6GsWUTd7,"Sebokeng, South Africa",2018-11-30 23:58:32+00:00,1068655551247253505,2394959159
6,Umoy’ongcwele 👏🏾 https://t.co/P8l6JlnlPI,"Mkhambathini, South Africa",2018-11-30 23:58:32+00:00,1068655550194438144,432890557
7,ZERO BUDGET FOR THIS WEEKEND!!,"Umhlanga, South Africa",2018-11-30 23:58:25+00:00,1068655522881175552,75752114
8,@Ntjosh Mom only caught on on this a few years ago,"Bellville, South Africa",2018-11-30 23:58:17+00:00,1068655486726270977,315198180
9,Musical Chairs is the OG battle royale dont @ me,"Somerset West, South Africa",2018-11-30 23:58:08+00:00,1068655448209932288,3422456571
10,December is here!! 😁🌲 Happy 1st Day of Christmas 🦌 https://t.co/Fe2so4bOm3,"Durban, South Africa",2018-11-30 23:58:07+00:00,1068655447413002240,123026434
11,I’m feeling generous #GlobalCitzen,"Bellville, South Africa",2018-11-30 23:57:53+00:00,1068655385274392577,315198180
12,Who’s sad and in need of some cheer me up n***s ?,"Bellville, South Africa",2018-11-30 23:57:29+00:00,1068655286083379200,315198180
13,@Tumi_Jess Look at you😭❤️,"Rustenburg, South Africa",2018-11-30 23:57:18+00:00,1068655238083723265,4712932522
14,I can't sleep now,"Midrand, South Africa",2018-11-30 23:56:33+00:00,1068655050069893120,1656246313
15,"bout to give you'll some 🔥before the end of the year 😉 #IHaveANewSkill 
#MoonlightSeethrough",South Africa,2018-11-30 23:56:20+00:00,1068654995896262657,2309322051
16,We couldn’t be more disinterested https://t.co/cpNdsyHxHL,"Bellville, South Africa",2018-11-30 23:55:34+00:00,1068654804283609088,315198180
17,@Lungisa35 Pass,"Johannesburg, South Africa",2018-11-30 23:55:26+00:00,1068654771836461062,386503061
18,@Ntjosh I was subjected to watch my mom fail this thing 5 times,"Bellville, South Africa",2018-11-30 23:55:10+00:00,1068654701170835461,315198180
19,@_siphab Come with Consani road,"Elsies River, South Africa",2018-11-30 23:55:01+00:00,1068654667142492163,806833837
