,text
0,"I know that feeling, hang in there for now, stay strong. It gets better ❤️ sending love your way"
1,We suppose yarn o
2,Don't be depressed my dear... Everything will be ok..
3,Heal!!! I pray 🙏🏼
4,Keep going. It gets better
5,👀👀
