,tweet_text,initial_location,tweet_date,tweet_id,user_id
0,THE KING OF AFRICA MUSIC 🦅👑I WE 💙U FOREVER 💯🔥NOTHING TO PROVE AGAIN WE ALREADY NO D BEST . https://t.co/de4ebMCjM9,"Lagos, Nigeria",2021-11-30 23:59:52+00:00,1465832987732422665,1111293727572676610
1,"@faahedah Soo painful to watch or listen, ya Allah ease their sufferings..🤲","Kaduna, Nigeria",2021-11-30 23:59:10+00:00,1465832808270684163,342449823
2,"Welcome to a NEW day, week and month. I prophesy all unanswered prayers in your life shall be answered this month in Jesus name. Amen @ Anchor of Restoration International Ministry https://t.co/Zd0SgfVvLq","Asaba, Nigeria",2021-11-30 23:58:54+00:00,1465832741589688325,1305210048
3,"HAPPY NEW MONTH beautiful people. Thanks for your love and supports towards the success of our comedy skits, and music. May this new month bring peace, joy of the Lord, love, laughter, and plenty Dollars to you. Welcome to DECEMBER - Hungry Boiz Comedy https://t.co/9wFbxHxgkC","Ikorudu, Nigeria",2021-11-30 23:58:22+00:00,1465832608017915905,2514663671
4,"Do not come to my DM to drop rubbish messages, get back to your grave where you belong. Am no longer the Person you used to know. Let's be mean together and this will hit differently 💙","Warri, Nigeria",2021-11-30 23:58:09+00:00,1465832554397904901,2172204143
5,"Happy New Month Guys💪🤞🏽💫✨🤍💯💖
#NewProfilePic https://t.co/p9VQziFcrf","Zinna, Nigeria",2021-11-30 23:58:07+00:00,1465832547414429706,1323690147372797954
6,"Thank God for creating US ""CORDWAINERS"" @ Ajegunle, Lagos, Nigeria https://t.co/R0aAgqLyrb","Lagos, Nigeria",2021-11-30 23:57:50+00:00,1465832472885673985,1330353129574068225
7,@ruthtilleygyado E dey show for our face 😪,"Federal Capital Territory, Nigeria",2021-11-30 23:57:06+00:00,1465832289145864196,3402737302
8,I wish I could just start over again.,"Ikeja, Nigeria",2021-11-30 23:55:52+00:00,1465831980688416772,242242220
9,They will appreciate and treat you well to the fullest only when you have money. Please for no reason should you take that to be love from them 💔🙏 it isn't love.,"Warri, Nigeria",2021-11-30 23:55:37+00:00,1465831918155481095,2172204143
10,"The Amount of Energy I have received from people in the past, is the same ""Amount Of Energy"" I will give back to some of them when am fit. Heaven knows this... I just wanna exist without worry.","Warri, Nigeria",2021-11-30 23:54:48+00:00,1465831713419014148,2172204143
