,tweet_text,initial_location,tweet_date,tweet_id,user_id
0,"Hon sir , @DARPG_GoI / e/2022/14340  resolution is poor ,i understand. Why MocA,AAI failed to put comment that MocA implementd comb service pension to 2055 AAI staff AP @DOPPW_India oM10.8.17.@rashtrapatibhvn @PMOIndia @MLJ_GoI . why 6 month delay? .@India_NHRC @CVCIndia https://t.co/Z1aqKlml1I","Tamil Nadu, India",2022-11-30 23:59:53+00:00,1598104560849289216,1420949644218036229
1,"Breathing🫁 exercises don’t have to take a lot of time out of your day. 
It’s just about setting aside time to pay attention to your breathing. Here are a few ideas to get started.

https://t.co/T19aWcF7Kg

 #MondayMotivation
#breathing #mindfullness #lifestyle","Faridabad, India",2022-11-30 23:59:46+00:00,1598104532877463553,969542533
2,Just posted a photo @ Ellalan Martialarts &amp; Fitness Mind https://t.co/1am8GZoFwd,"Fort Tondiarpet, India",2022-11-30 23:59:39+00:00,1598104504452390915,1388436124566097924
3,Hello Good Morning 🙏 @ India https://t.co/goQ6yPpDap,"Maharashtra, India",2022-11-30 23:59:38+00:00,1598104500488871937,947172903165902849
4,Penalties are not for messi,"Andhra Pradesh, India",2022-11-30 23:59:19+00:00,1598104419035676673,1398634799703625730
5,@ahmed_africo @UIDAI @GoI_MeitY @mygovindia From Nov 1st,"Bengaluru South, India",2022-11-30 23:59:11+00:00,1598104384243920896,1474019087705460738
6,"@AbhaySChautala Happy marriage anniversary....
🙏🙏🎂🎂","Gurgaon, India",2022-11-30 23:59:10+00:00,1598104380326440960,1449725226539880455
7,@Avenika7575 Very good morning 🌅 je,"New Delhi, India",2022-11-30 23:58:51+00:00,1598104302631149568,1424121435526549504
8,"@sejaljobanputra Sejal,you are strong and hope this too shall pass.","New Delhi, India",2022-11-30 23:58:38+00:00,1598104245915774976,914421804940222465
9,@nencheppanpo Apple 🍎 music works fine 🫡,"Hayathnagar, India",2022-11-30 23:58:37+00:00,1598104241947934722,177171659
10,"BJP/RSS is contrld by minuscule filthy rich urban capitalists clique of Savaran Hindus; Modi is on their payroll for political favors, otherwise who will gift 10 Lakh suit to wear? https://t.co/0kybrzcNtQ","Faridabad, India",2022-11-30 23:58:36+00:00,1598104238122766337,701332457816084483
11,@pharmeasyapp You response was realy shit. After sale of  Plus membership you suddenly capped the wallet redemption limit to 5% from 100%. Then started charging packaging fee and many more to come based on your intension. U R not trust worthy. I will suggest other customers should ignore you.,"Bhubaneshwar, India",2022-11-30 23:58:27+00:00,1598104202496348160,871427238
12,@Dr_Bhumi143 Good morning awake with pleasure,"Indore, India",2022-11-30 23:58:27+00:00,1598104201963671552,1576247278985060352
13,"A touching story of an Ayushman Bharat beneficiary in Gujarat…
Only someone like PM Modi, who has a deep understanding of both, the Indian society and how to make economies of scale work, in order to ensure safety net for the poorest of poor, could have conceived such a scheme. https://t.co/bGRx00IZDH",Mirzapur,2022-11-30 23:58:23+00:00,1598104185387352065,2893229460
14,Thanks @LizzyMcAlpine for spending 423 minutes with me in 2022. I couldn’t stop listening to reckless driving (feat. Ben Kessler). #SpotifyWrapped https://t.co/i50TiLanRu,"Mumbai, India",2022-11-30 23:58:18+00:00,1598104164910780416,1205575686
15,@SonamSh65531254 Good morning awake with pleasure,"Indore, India",2022-11-30 23:58:15+00:00,1598104151346786304,1576247278985060352
16,Thanks Lata Mangeshkar for spending 465 minutes with me in 2022. I couldn’t stop listening to Main Ek Chor Tu Meri Rani. #SpotifyWrapped https://t.co/GAbq7YDaqs,"Ghaziabad, India",2022-11-30 23:58:07+00:00,1598104117129674753,135047401
17,@reshmi403 Good morning awake with pleasure,"Indore, India",2022-11-30 23:58:06+00:00,1598104112482353152,1576247278985060352
18,Who likes 40+ குn.... di. https://t.co/Ig7amjZiue,"Viluppuram, India",2022-11-30 23:58:02+00:00,1598104095751299074,1409381546000220160
19,Boys will lose their glow in December now,"New Delhi, India",2022-11-30 23:57:57+00:00,1598104076742709250,1413178036363546625
20,@KavitaS67163612 Good morning awake with pleasure,"Indore, India",2022-11-30 23:57:51+00:00,1598104048456302596,1576247278985060352
21,@cma_artist Jai shree Krishna subh prabhat Seema ji iam follow you please follow me,"New Delhi, India",2022-11-30 23:57:48+00:00,1598104039086264320,1424121435526549504
22,".
.

The application the application of the thought the application of the being absence of thoughts of naxalite the application of the being presence of welfare statement,being absence of killing statement the application of the bike,petrol the application of the busy
.
.Ashokh","Warangal-Hamamkonda, India",2022-11-30 23:57:47+00:00,1598104034572845056,1495853829887528961
23,"Hon sir , @DARPG_GoI / e/2022/14340  resolution is poor ,i understand. Why MocA,AAI failed to put comment that MocA implementd comb service pension to 2055 AAI staff AP @DOPPW_India oM10.8.17.@rashtrapatibhvn @PMOIndia @MLJ_GoI . why 6 month delay? .@India_NHRC @CVCIndia https://t.co/FQjN63MKj0","Tamil Nadu, India",2022-11-30 23:57:45+00:00,1598104024045170688,1420949644218036229
24,@lillyeffed Everyone else. https://t.co/Cctta9esSY,"Mumbai, India",2022-11-30 23:57:44+00:00,1598104020627120128,6325
25,"#EURUSD Euro posts best month against the US dollar since Sept 2010
Best month in 12 years for the euro

EUR/USD started the month at 0.9883 and is on track to finish at 1.0418. That 5.5% gain will mark the best month for the euro against the US dollar since 2010. https://t.co/MMawBNLV6o","Sarapaka, India",2022-11-30 23:57:38+00:00,1598103995343831040,2219174366
26,"@_YogendraYadav RIP RNDTV
Now you can not say one Shahrukh as Anurag..","Aligarh, India",2022-11-30 23:57:31+00:00,1598103964113047552,3924909614
27,Wish you many more happy returns of the day brother @TechieBalu 💐🎂,"Tamil Nadu, India",2022-11-30 23:57:24+00:00,1598103936078348290,860422536617742337
28,"Sir, kindly save our life. Our Administration's are in deep sleep. Many letters corresponding but no action is taken against the Boiler Plant and Stone Creatures.","Port Blair, India",2022-11-30 23:57:22+00:00,1598103926431051777,1428172994765942787
29,@MonaPatelT @NatGeoIndia @incredibleindia Very good morning Mona je,"New Delhi, India",2022-11-30 23:57:14+00:00,1598103893925560322,1424121435526549504
30,@chanda_mahua Jai shree hari subh prabhat My beautiful ❤️ and cute friend,"New Delhi, India",2022-11-30 23:57:00+00:00,1598103835951915009,1424121435526549504
31,First love yourself..💗❤️,"Mumbai, India",2022-11-30 23:56:52+00:00,1598103803676741632,1536752190374785025
