,tweet_text,initial_location,tweet_date,tweet_id,user_id
0,How to Tweet https://t.co/R4032pATKf,"Tenali, India",2019-11-30 23:59:52+00:00,1200927457060081665,937203426445819904
1,"I live in a Island of hate.
Among vile people with a bait.
A young bird charred, unfortunate.
Some say its her fate and some blame her for being late.
When my sister is out, could i sleep in a peaceful state?

#justiceforpriyanakareddy 
#","Bengaluru South, India",2019-11-30 23:59:28+00:00,1200927356258414592,708806467
2,"@airtelindia
Your employee on call commits the way to refund, And then through this support I Just realised that there is no way 2 #rollback a #prepaid #recharge.

@mygovindia @DoT_India @TRAI
Are we really living in #21stcentury?

@jagograhakjago 
Isn't #jabardasti on #consumer? https://t.co/YApZRLaefd","Kalyan Dombivali, India",2019-11-30 23:59:20+00:00,1200927324297818112,185360335
3,"Overall a brilliant experience, and thoroughly enjoyed interacting with the very inquisitive audience!!","Kolkata, India",2019-11-30 23:58:55+00:00,1200927219435966464,715827858
4,"@PiyushGoyal  Sir Railway enquiry system is to be upgraded.
While I have seen running status of Train No 13347 is shows late by 1.30 hrs but on call to local gaya station I found it in on time at Gaya station.
Screen for enquiring as below. https://t.co/m8Sl8TMfDo","Gaya, India",2019-11-30 23:58:26+00:00,1200927094479306754,4852771765
5,"When You Are suffering from high fever &amp; cold But Got Such Kinda Crowd🥺 ,made me forget everything! Love Yaaa♥ #yesterdayscene💁🏻💃🏻 _

_

#stage #halloween #instamusic #live #grateful #nyc #musicians #writer #musical… https://t.co/osGlEiHXw9","Thane, India",2019-11-30 23:58:22+00:00,1200927079602278401,3305239428
6,"I know your fabulous capabilities since my student period, shocked when I heard you have not given ticket by B.J.P 
I think that now a days  truth, talent, trust, commitment are not recognised by B.J.p .But your victory is definite https://t.co/5WrGd5gsTG","Chandrapura, India",2019-11-30 23:57:40+00:00,1200926903286190081,1078136632459423745
7,Good morning all friends,"Sikar, India",2019-11-30 23:57:29+00:00,1200926855693422592,718733968380600320
8,@AMIT_GUJJU @heeraman98 Shameless journalist. We should boycott his channel,"Ahmadabad City, India",2019-11-30 23:57:27+00:00,1200926847434809346,3150831950
9,"@pujatiwariBJP Yes... शतरंज के खिलाड़ी

Happy day ahead my dear. https://t.co/mwOFeHAdpF","Faridabad, India",2019-11-30 23:57:24+00:00,1200926837758517248,416912120
