,tweet_text,initial_location,tweet_date,tweet_id,user_id
0,".@choochoobear @dch__ Also ""he acted alone because terrorists radicalised by mass media and dominant culture don't need terrorist cells""","Melbourne, Victoria",2015-11-30 23:59:59+00:00,671478813231071232,789993
1,@Mario__Bones Platnium Games presents The Aunty Jack Game,"Nundah, Brisbane",2015-11-30 23:59:55+00:00,671478796449505280,26719207
2,"Kindergarten Syllogisms 101
Bad people have guns.
Trying to defend yourself against bad people with guns without a gun is silly.","Melbourne, Victoria",2015-11-30 23:59:54+00:00,671478791621906434,783251522
3,"Wind 1.9 kts SW. Barometer 1012.8 mb, Steady. Temperature 32.4 °C. Rain today 0.0 mm. Humidity 53%","Raymond Terrace, New South Wales",2015-11-30 23:59:52+00:00,671478783396872193,379712969
4,"SA Commissioner of Small Business quoted @xero this morning - saving business owners time, embracing change! #cloud https://t.co/lnGy4TiYMe","Adelaide, South Australia",2015-11-30 23:59:51+00:00,671478779009630209,2177109552
5,"@LizFrencham Good luck! Next week same time, same place, hopefully. I'll let you know if anything changes.","Daylesford - Hepburn Springs, Victoria",2015-11-30 23:59:46+00:00,671478760093458432,68855304
6,#ACI2015 Conference is very informative and thought provoking on #Islamophobia and #Radicalism https://t.co/YEpPRQY0zm,"Sydney, New South Wales",2015-11-30 23:59:43+00:00,671478747174854656,85477003
7,@rwitchcraft I don't know. But he has returned all puffed out. Now he is sleeping,"Barraba, New South Wales",2015-11-30 23:59:39+00:00,671478732125638658,332716245
8,"RMB HAD A BIG MOVE – AFTER IMF APPROVES YUAN
#forex #forexeducation #CFD #sydney
https://t.co/IY7XrRxwZ0 https://t.co/fO5bMqaW6w","Sydney, New South Wales",2015-11-30 23:59:36+00:00,671478719547056128,3864652213
9,Archbishop Denis Hart back before the @CARoyalComm . Serial pedophile priest Peter Searson used violence against victims. @3AW693,"Melbourne, Victoria",2015-11-30 23:59:32+00:00,671478702983675904,196528700
10,@JennyPearse1 Yeah 'busy' should never be the goal. Going to get a bit meta here - i'm very satisfied/happy but not content.,"Melbourne, Victoria",2015-11-30 23:59:26+00:00,671478676580532224,278268541
11,@shyone65 91 and rising 🙊,"Sydney, New South Wales",2015-11-30 23:59:26+00:00,671478676391784448,24458577
12,@TitusOReily great work by Rod Marsh taking the social media attention from @shaunmarsh9 &amp; plonking it on @coulta13 #dudselector,"Adelaide, South Australia",2015-11-30 23:59:25+00:00,671478669961924608,1133696520
13,Love the Melbourne coffee scene. #willrideforcoffee @ The Coffee Company https://t.co/rmkj8vfKJV,"Melbourne, Victoria",2015-11-30 23:59:23+00:00,671478664194891776,36140956
14,Tfw you get your phone bill and realise you forgot to pay the previous month. Uuurrrrrrgh,"Melbourne, Victoria",2015-11-30 23:59:20+00:00,671478652916269056,17081782
